"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"22.08.2024","33,9163","33,9300","33,9559","33,8372","","0,25%"
"21.08.2024","33,8313","33,8858","34,0490","33,7807","","-0,08%"
"20.08.2024","33,8575","33,7020","33,9736","33,6469","","0,86%"
"19.08.2024","33,5690","33,6752","33,8088","33,5615","","-0,28%"
"16.08.2024","33,6632","33,6392","33,9940","33,5339","","0,18%"
"15.08.2024","33,6042","33,6094","33,7179","33,4868","","0,01%"
"14.08.2024","33,5992","33,5393","33,6825","33,4212","","0,21%"
"13.08.2024","33,5301","33,4950","33,6460","33,3650","","0,48%"
"12.08.2024","33,3700","33,5291","33,6455","33,4043","","-0,34%"
"09.08.2024","33,4839","33,5191","33,6470","33,3735","","-0,04%"
"08.08.2024","33,4959","33,4729","33,6085","33,3699","","0,20%"
"07.08.2024","33,4293","33,6010","33,7030","33,3667","","-0,42%"
"06.08.2024","33,5696","33,3534","33,7718","33,1576","","0,73%"
"05.08.2024","33,3248","33,2248","33,4689","33,1530","","0,47%"
"02.08.2024","33,1680","33,1137","33,3339","33,0242","","0,25%"
"01.08.2024","33,0853","33,1509","33,2387","32,9846","","-0,17%"
"31.07.2024","33,1401","33,0888","33,2641","33,0180","","0,18%"
"30.07.2024","33,0794","33,0810","33,1705","32,9571","","0,10%"
"29.07.2024","33,0458","32,9600","33,2287","32,8288","","0,43%"
"26.07.2024","32,9042","32,9500","33,1946","32,8027","","-0,13%"
"25.07.2024","32,9480","32,8225","33,1779","32,7557","","0,51%"
"24.07.2024","32,7792","32,8516","32,9824","32,7294","","-0,22%"
"23.07.2024","32,8527","32,9115","33,1357","32,6804","","-0,17%"
"22.07.2024","32,9085","33,0002","33,2234","32,7612","","-0,44%"